StationName;BitRate;StationUrl;StationFav
106.4 TOP FM;128;http://mp3.topfm.c.nmdn.net/ps-topfm/livestream.mp3;False
14482 Babelsberg Hitradio;192;http://46.163.75.84:8000;False
181.FM - Classic Hits 181;128;http://relay.181.fm:8132;False
95.5 Charivari;128;http://rs5.stream24.net;False
alster radio 106.8 rock 'n pop;96;http://live96.106acht.de;False
Antenne Bayern;128;http://mp3.webradio.antenne.de:80;False
Antenne Bayern - 80er Kulthits;96;http://channels.webradio.antenne.de/80er-kulthits;False
Antenne Bayern - Black Beatz;96;http://channels.webradio.antenne.de/black-beatz;False
Antenne Bayern - Chillout;96;http://channels.webradio.antenne.de/chillout;False
Antenne Bayern - Classic Rock Live;96;http://channels.webradio.antenne.de/classic-rock-live;False
Antenne Bayern - Hits fuer Kids;96;http://channels.webradio.antenne.de/hits-fuer-kids;False
Antenne Bayern - Lovesongs;96;http://channels.webradio.antenne.de/lovesongs;False
Antenne Bayern - Oldies;96;http://channels.webradio.antenne.de/oldies-but-goldies;False
Antenne Bayern - Schlager;96;http://channels.webradio.antenne.de/das-schlager-karussell;False
Antenne Bayern - Top 40;128;http://channels.webradio.antenne.de/top-40;False
Antenne Muenster;128;http://stream.antennemuenster.de:8000/am128k;False
Antenne Saar;128;http://asm.akacast.akamaistream.net/7/495/305516/v1/gnl.akacast.akamaistream.net/asm;False
Ballermann Radio;128;http://media.ballermann-radio.com:8000;False
BassLover;128;http://s7.relay-basslover.de:9000;False
Bayern 1 Oberfranken;128;http://streams.br.de/bayern1_2.m3u;False
Bayern 2 Nord;128;http://streams.br.de/bayern2_2.m3u;False
Bayern 3;128;http://streams.br.de/bayern3_2.m3u;False
Bayerwelle Suedost TS;128;http://icebwso2.srv.co.at:8000/bwchg_hi;False
bigFM;128;http://streams.bigfm.de/bigfm-deutschland-128-aac?usid=0-0-H-A-D-30;False
BigRig FM;128;http://radio.bigrig.fm;False
BlackBeats.FM;128;http://stream.blackbeats.fm;False
Blackmusic-radio;128;http://listen.bmradio.de;False
Bremen Eins;128;http://rb-bremeneins-live.cast.addradio.de/rb/bremeneins/live/mp3/128/stream.mp3;False
Bremen Vier;128;http://rb-bremenvier-live.cast.addradio.de/rb/bremenvier/live/mp3/128/stream.mp3;False
Countrymusic24;96;http://countrymusic24.powerstream.de:9000;False
Crosschannel;128;http://c14000-l.i.core.cdn.streamfarm.net/3095crosschannel_dsl.mp3;False
DEFJAY.DE;128;http://sc1.netstreamer.net:8040;False
Die Neue Welle;128;http://live.meine-neue-welle.de/dnw_128.mp3;False
Eastcoast;128;http://staff.mp3streams.net/eastcoastgvl;False
